NOMBRE_REGION_EGRESO,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,Lib. Gral B. O'Higgins,Maule,Ñuble,Biobío,La Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
Arica y Parinacota,936,15,22,2,13,55,91,0,8,8,22,6,12,2,0,4
Tarapacá,63,807,57,6,27,123,221,1,8,5,70,13,17,6,0,0
Antofagasta,67,48,1866,10,130,195,418,2,14,12,80,18,31,13,0,3
Atacama,1,8,26,796,295,142,166,1,7,6,15,4,13,6,0,2
Coquimbo,6,4,44,40,2313,463,515,1,11,11,40,15,17,9,0,3
Valparaíso,5,6,9,9,16,6489,989,3,11,4,51,14,28,14,1,7
Metropolitana,6,12,16,10,42,483,29140,24,105,53,164,109,132,63,6,11
Lib. Gral B. O'Higgins,2,0,3,1,8,469,1622,644,581,14,119,46,34,8,0,1
Maule,1,4,3,1,4,115,647,5,3326,74,383,24,31,12,0,2
Ñuble,0,2,5,0,2,21,201,2,80,1128,861,32,22,6,1,3
Biobío,2,1,1,1,5,54,320,1,34,76,6984,184,46,26,1,12
La Araucanía,0,1,3,1,2,40,253,1,10,23,227,3584,163,20,0,7
Los Ríos,0,0,3,0,0,26,114,1,3,0,48,142,1099,177,1,1
Los Lagos,0,1,1,0,4,164,478,0,14,7,232,222,554,1832,1,16
Aysén,0,0,0,0,4,63,97,0,3,3,50,69,73,24,133,3
Magallanes,0,0,0,0,4,80,121,1,7,4,44,12,44,15,0,443
