mrun,rango_edad,anio_ing_carr_ori,anio_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,nomb_carrera,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,forma_ingreso,NOMBRE_REGION_INGRESO
19.0,20 a 24 años,2019,2019,Centros de Formación Técnica,Centros de Formación Técnica,Centros de Formación Técnica,536,CFT DE TARAPACA,TECNICO DE NIVEL SUPERIOR EN ENFERMERIA,Arica y Parinacota,ARICA,ARICA,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Arica y Parinacota
35.0,20 a 24 años,2017,2017,Universidades,Universidades Privadas,Universidades Privadas,31,UNIVERSIDAD AUTONOMA DE CHILE,ENFERMERIA,Maule,TALCA,TALCA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule
43.0,30 a 34 años,2020,2020,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,70,UNIVERSIDAD DE CHILE,"DOCTORADO EN TERRITORIO, ESPACIO Y SOCIEDAD",Metropolitana,SANTIAGO,SANTIAGO,Postgrado,Doctorado,1- Ingreso Directo (regular),Metropolitana
98.0,15 a 19 años,2021,2021,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,111,IP DUOC UC,GASTRONOMIA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Metropolitana
99.0,15 a 19 años,2021,2021,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,111,IP DUOC UC,TECNICO EN GEOLOGIA Y CONTROL EN SONDAJE,Metropolitana,CORDILLERA,PUENTE ALTO,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Metropolitana
110.0,25 a 29 años,2014,2017,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,71,UNIVERSIDAD DE SANTIAGO DE CHILE,LICENCIATURA EN LINGÜISTICA APLICADA A LA TRADUCCION MENCION INGLES-JAPONES O INGLES-PORTUGUES / TRADUCTOR INGLES-JAPONES O INGLES-PORTUGUES,Metropolitana,SANTIAGO,ESTACION CENTRAL,Pregrado,Profesional Con Licenciatura,2- Continuidad desde plan común o Bachillerato.,Metropolitana
137.0,20 a 24 años,2021,2021,Centros de Formación Técnica,Centros de Formación Técnica,Centros de Formación Técnica,430,CFT INACAP,TECNICO EN MECANICA Y ELECTROMOVILIDAD AUTOMOTRIZ,Metropolitana,SANTIAGO,RENCA,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Metropolitana
140.0,20 a 24 años,2021,2021,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,111,IP DUOC UC,INGENIERIA EN ELECTRICIDAD Y AUTOMATIZACION INDUSTRIAL,Metropolitana,CORDILLERA,PUENTE ALTO,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),Metropolitana
150.0,25 a 29 años,2016,2016,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,69,UNIVERSIDAD ALBERTO HURTADO,PERIODISMO,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
151.0,20 a 24 años,2016,2016,Universidades,Universidades Privadas,Universidades Privadas,13,UNIVERSIDAD SANTO TOMAS,FONOAUDIOLOGIA,Valparaíso,VALPARAISO,VIÑA DEL MAR,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso
239.0,20 a 24 años,1900,2017,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,3,UNIVERSIDAD DIEGO PORTALES,ENFERMERIA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,4- Cambio Externo,Metropolitana
252.0,35 a 39 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,94,UNIVERSIDAD CATOLICA DE TEMUCO,DOCTORADO EN ESTUDIOS INTERCULTURALES,La Araucanía,CAUTIN,TEMUCO,Postgrado,Doctorado,10- Otras formas de Ingreso,La Araucanía
291.0,25 a 29 años,2018,2018,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,143,IP AIEP,GASTRONOMIA INTERNACIONAL,Metropolitana,SANTIAGO,SAN JOAQUIN,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Metropolitana
340.0,30 a 34 años,2020,2020,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,111,IP DUOC UC,INGENIERIA EN INFORMATICA,Metropolitana,SANTIAGO,SAN JOAQUIN,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),Metropolitana
341.0,30 a 34 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,13,UNIVERSIDAD SANTO TOMAS,PROGRAMA DE LICENCIATURA DE TRABAJO SOCIAL,La Araucanía,CAUTIN,TEMUCO,Pregrado,Licenciatura No Conducente a Título,1- Ingreso Directo (regular),La Araucanía
346.0,20 a 24 años,2019,2019,Centros de Formación Técnica,Centros de Formación Técnica,Centros de Formación Técnica,430,CFT INACAP,ADMINISTRACION DE EMPRESAS,Ñuble,DIGUILLIN,CHILLAN,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Ñuble
385.0,20 a 24 años,2018,2018,Universidades,Universidades Privadas,Universidades Privadas,13,UNIVERSIDAD SANTO TOMAS,TERAPIA OCUPACIONAL,Los Ríos,VALDIVIA,VALDIVIA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Los Ríos
386.0,20 a 24 años,2018,2018,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,100,IP INACAP,INGENIERIA EN PRODUCCION GANADERA,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),La Araucanía
392.0,20 a 24 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,90,UNIVERSIDAD AUSTRAL DE CHILE,INGENIERIA CIVIL ACUSTICA,Los Ríos,VALDIVIA,VALDIVIA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Los Ríos
393.0,25 a 29 años,2020,2020,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,116,IP SANTO TOMAS,INGENIERIA AGRICOLA,Maule,CURICO,CURICO,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),Maule
427.0,20 a 24 años,2021,2021,Centros de Formación Técnica,Centros de Formación Técnica,Centros de Formación Técnica,430,CFT INACAP,"TELECOMUNICACIONES, CONECTIVIDAD Y REDES",Ñuble,DIGUILLIN,CHILLAN,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Ñuble
428.0,20 a 24 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,75,UNIVERSIDAD DEL BIO-BIO,FONOAUDIOLOGIA,Ñuble,DIGUILLIN,CHILLAN,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Ñuble
431.0,35 a 39 años,2017,2017,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,106,IP PROVIDENCIA,CONTADOR GENERAL,Metropolitana,SANTIAGO,PROVIDENCIA,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Metropolitana
452.0,20 a 24 años,2021,2021,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,143,IP AIEP,DISEÑO DE VESTUARIO PROFESIONAL MENCION ALTA COSTURA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),Metropolitana
637.0,15 a 19 años,2021,2021,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,103,IP INSTITUTO DE ESTUDIOS BANCARIOS GUILLERMO SUBERCASEAUX,CONTADOR AUDITOR CON MENCION BANCA E INSTITUCIONES FINANCIERAS,Valparaíso,VALPARAISO,VIÑA DEL MAR,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),Valparaíso
671.0,20 a 24 años,2018,2021,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,111,IP DUOC UC,ANALISTA PROGRAMADOR COMPUTACIONAL,Metropolitana,SANTIAGO,MAIPU,Pregrado,Técnico de Nivel Superior,3- Cambio Interno,Metropolitana
684.0,25 a 29 años,2020,2020,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,116,IP SANTO TOMAS,INGENIERIA DE EJECUCION EN ADMINISTRACION,Arica y Parinacota,ARICA,ARICA,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),Arica y Parinacota
