mrun,RBD,CODIGO_REGION_EGRESO,NOMBRE_REGION_EGRESO,PTJE_NEM,PTJE_RANKING,PROM_CM_ACTUAL,rango_edad,anio_ing_carr_ori,anio_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,nomb_carrera,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,forma_ingreso,NOMBRE_REGION_INGRESO,NOM_RBD,COD_REG_RB,TIPO_DEPEN,LATITUD_COL,LONGITUD_COL,NOMBRE_INS,REGIÓN,COMUNA,LATITUD_UNI,LONGITUD_UNI,TIPO_INST
13776824,9046.0,13,Metropolitana,775,780,"791,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,86,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,INGENIERIA COMERCIAL,Metropolitana,SANTIAGO,MACUL,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,COLEGIO THE GRANGE SCHOOL,13.0,3.0,-33.437946,-70.56862,,,,-33.485417,-70.616989,
18327063,8503.0,13,Metropolitana,647,693,522,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,85,UNIVERSIDAD TECNOLOGICA METROPOLITANA,INGENIERIA EN BIOTECNOLOGIA,Metropolitana,SANTIAGO,ÑUÑOA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,INST.SUP.DE COMERCIO EDUARDO FREI M.,13.0,1.0,-33.442097,-70.656301,,,,-33.452566,-70.591924,
23768815,12655.0,1,Tarapacá,775,850,597,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,72,UNIVERSIDAD DE VALPARAISO,NUTRICION Y DIETETICA,Valparaíso,VALPARAISO,VALPARAISO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso,COLEGIO SAN PEDRO,1.0,2.0,-20.27458,-70.09288,,,,,,
14851720,12830.0,2,Antofagasta,631,645,384,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,13,UNIVERSIDAD SANTO TOMAS,INGENIERIA COMERCIAL,Antofagasta,ANTOFAGASTA,ANTOFAGASTA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Antofagasta,LICEO DE ESTUDIOS CONTABLES Y ADMINISTR.,2.0,2.0,-23.641199,-70.390808,,,,-23.560032,-70.40047,
4421540,13352.0,4,Coquimbo,807,850,672,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,72,UNIVERSIDAD DE VALPARAISO,INGENIERIA EN NEGOCIOS INTERNACIONALES,Valparaíso,VALPARAISO,VALPARAISO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso,LICEO POLIV.PADRE JOSE HERDE P-LHER,4.0,1.0,-31.38916,-71.41494,,,,,,
2376849,26399.0,13,Metropolitana,517,517,"563,5",15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,45,UNIVERSIDAD DEL DESARROLLO,ARQUITECTURA,Metropolitana,SANTIAGO,LAS CONDES,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,COLEGIO PUMAHUE CHICUREO,13.0,3.0,-33.219913,-70.74448,UNIVERSIDAD DEL DESARROLLO,Metropolitana,LAS CONDES,-33.372476,-70.515748,Universidades privadas
15547601,2973.0,7,Maule,656,662,"535,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,92,UNIVERSIDAD CATOLICA DEL MAULE,TRABAJO SOCIAL,Maule,TALCA,TALCA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,LICEO ABATE MOLINA,7.0,1.0,-35.424061,-71.646896,,,,-35.40421,-71.635118,
21870090,3885.0,16,Ñuble,679,781,508,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,93,UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION,TECNICO UNIVERSITARIO EN ENFERMERIA,Ñuble,DIGUILLIN,CHILLAN,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Ñuble,COLEGIO FRANCISCO DE ASIS,16.0,2.0,-36.70467,-71.890251,,,,,,
21472275,17829.0,16,Ñuble,499,499,"522,5",15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,38,UNIVERSIDAD ADVENTISTA DE CHILE,PSICOLOGIA,Ñuble,DIGUILLIN,CHILLAN,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Ñuble,CENTRO DE ESTUDIO LA ARAUCANA,16.0,2.0,-36.60773,-72.09564,,,,-36.637289,-71.997327,
10413408,17843.0,8,Biobío,449,451,456,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,39,UNIVERSIDAD SAN SEBASTIAN,FONOAUDIOLOGIA,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Biobío,COLEGIO AURORA DE CHILE CHIGUAYANTE,8.0,2.0,-36.92593,-73.025383,,,,,,
17990392,20478.0,2,Antofagasta,571,577,502,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,13,UNIVERSIDAD SANTO TOMAS,NUTRICION Y DIETETICA,Coquimbo,ELQUI,LA SERENA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Coquimbo,COLEGIO TÉCNICO INDUSTRIAL DON BOSCO - CALAMA,2.0,2.0,-22.445271,-68.939529,,,,-29.879084,-71.251949,
1455793,7773.0,10,Los Lagos,631,664,617,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,39,UNIVERSIDAD SAN SEBASTIAN,KINESIOLOGIA,Los Lagos,LLANQUIHUE,PUERTO MONTT,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Los Lagos,ESCUELA EULOGIO GOYCOLEA GARAY,10.0,1.0,-41.773529,-73.128563,,,,-41.46105,-72.930594,
16285881,2863.0,7,Maule,577,576,492,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,31,UNIVERSIDAD AUTONOMA DE CHILE,FONOAUDIOLOGIA,Maule,TALCA,TALCA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,COLEGIO ADVENTISTA DE MOLINA,7.0,2.0,-35.114899,-71.282631,,,,-35.40421,-71.635118,
