RBD,NOM_RBD,COD_REG_RB,TIPO_DEPEN,LATITUD_COL,LONGITUD_COL
8484,ESCUELA PUERTO TORO,12.0,1.0,-55.083172,-67.076218
8483,LICEO BICENTENARIO DONALD MC-INTYRE GRIFFITHS,12.0,1.0,-54.934799,-67.605339
24341,ESCUELA PAMPA GUANACO,12.0,1.0,-54.052231,-68.802948
8452,ESCUELA DE PUERTO HARRIS,12.0,1.0,-53.834999,-70.453369
8482,ESCUELA IGNACIO CARRERA PINTO,12.0,1.0,-53.63903,-69.64666
8475,ESCUELA LIBERTADOR BDO. O´HIGGINS R.,12.0,1.0,-53.296082,-70.372093
40311,COLEGIO CAUPOLICAN,12.0,2.0,-53.295397,-70.354744
16895,COLEGIO MARIA AUXILIADORA,12.0,2.0,-53.2953,-70.3675
40217,ESCUELA ESPECIAL CLUB DE LEONES CRUZ DEL SUR,12.0,2.0,-53.293586,-70.369603
8474,LICEO POLIVALENTE HERNANDO DE MAGALLANES,12.0,1.0,-53.291279,-70.373123
8448,ESCUELA PEDRO SARMIENTO DE GAMBOA,12.0,1.0,-53.198299,-70.936951
24302,ESCUELA GENERAL MANUEL BULNES P.,12.0,1.0,-53.174351,-70.937737
8434,ESCUELA ESPANA,12.0,1.0,-53.171909,-70.924309
8427,LICEO INDUSTRIAL ARMANDO QUEZADA ACHARAN,12.0,1.0,-53.171379,-70.919434
24305,COLEGIO PIERRE FAURE,12.0,2.0,-53.16872,-70.915833
40124,ESC. ESP. LENG. JOSE GRIMALDI ACOTTO,12.0,2.0,-53.167691,-70.923205
24318,ESCUELA PADRE ALBERTO HURTADO CRUCHAGA,12.0,1.0,-53.167179,-70.945503
24311,COLEGIO FRANCES,12.0,2.0,-53.16666,-70.911438
8433,ESCUELA LIBERTADOR CAP GRAL BDO OHIGGINS,12.0,1.0,-53.166031,-70.914131
8425,LICEO POLIVALENTE MARIA BEHETY DE MENENDEZ,12.0,1.0,-53.165489,-70.928627
8435,ESCUELA DIECIOCHO DE SEPTIEMBRE,12.0,1.0,-53.165199,-70.929893
16892,CENTRO DE ESTUDIO DE LA PATAGONIA,12.0,2.0,-53.16428,-70.905959
24335,ESC. ESP. DE LENGUAJE NUEVO SOL,12.0,2.0,-53.163829,-70.929723
8429,LICEO LUIS ALBERTO BARRERA,12.0,1.0,-53.162609,-70.897873
8430,LICEO POLIVALENTE SARA BRAUN,12.0,1.0,-53.162498,-70.901573
8426,COLEGIO ANDINO,12.0,1.0,-53.162366,-70.950872
24329,LICEO SAN JOSE,12.0,2.0,-53.16172,-70.911049
8424,INSTITUTO SUPERIOR DE COMERCIO LICEO BICENTENARIO,12.0,1.0,-53.161369,-70.905006
8455,LICEO MARIA AUXILIADORA,12.0,2.0,-53.160858,-70.905998
8463,THE BRITISH SCHOOL,12.0,3.0,-53.160132,-70.911729
24330,FUNDACIÓN PARA EL DESARROLLO,12.0,2.0,-53.160033,-70.932367
8438,ESCUELA REPUBLICA DE CROACIA,12.0,1.0,-53.15995,-70.897057
8432,CENTRO DE EDUC.INTEGRAL DE ADULTOS CEIA.,12.0,1.0,-53.159551,-70.904254
8457,INSTITUTO SAGRADA FAMILIA,12.0,2.0,-53.15844,-70.901337
8443,ESCUELA ESPECIAL ROTARIO PAUL HARRIS,12.0,1.0,-53.15841,-70.890681
8458,ESCUELA PARTICULAR LA MILAGROSA,12.0,2.0,-53.15807,-70.940376
24324,GREEN HILL COLLEGE,12.0,3.0,-53.157824,-70.905434
8436,ESCUELA PORTUGAL,12.0,1.0,-53.157341,-70.906639
24342,ESCUELA ESPECIAL DE LENGUAJE RAYITO DE LUZ,12.0,2.0,-53.15665,-70.943195
8441,ESCUELA HERNANDO DE MAGALLANES,12.0,1.0,-53.155579,-70.931374
