,Region_Nombre,Porcentaje
14,Región de Arica y Parinacota,28.57142857142857
0,Región de Tarapacá,33.89830508474576
1,Región de Antofagasta,25.842696629213485
2,Región de Atacama,20.51282051282051
3,Región de Coquimbo,12.5
4,Región de Valparaíso,14.285714285714285
5,Región Metropolitana de Santiago,14.685314685314685
6,Región del Libertador Gral. Bernardo O’Higgins,11.801242236024844
7,Región del Maule,11.864406779661017
15,Región de Ñuble,11.494252873563218
8,Región de Biobío,17.159763313609467
9,Región de La Araucanía,16.883116883116884
10,Región de Los Ríos,12.0
11,Región de Los Lagos,3.125
12,Región de Aysén del Gral. Carlos Ibáñez del Campo,26.78227360308285
13,Región de Magallanes y de la Antártica Chilena,13.924050632911392
