COD_REG_RB,Municipal,Particular Subvencionado,Particular Pagado,Corp. Administración Delegada,Servicio Local de Educación
Región de Magallanes y de la Antártica Chilena,46.40522875816993,50.98039215686274,2.6143790849673203,0.0,0.0
Región de Aysén del Gral. Carlos Ibáñez del Campo,21.467953135768436,63.74913852515507,10.613370089593383,1.1371467953135768,3.0323914541695385
Región de Los Lagos,58.88888888888889,33.33333333333333,7.777777777777778,0.0,0.0
Región de Los Ríos,63.63636363636363,34.090909090909086,1.1363636363636365,1.1363636363636365,0.0
Región de La Araucanía,52.86624203821656,37.47346072186836,2.1231422505307855,0.10615711252653928,7.43099787685775
Región de Biobío,37.55912961210974,53.92620624408704,1.0406811731315044,0.3784295175023652,7.095553453169347
Región de Ñuble,68.1265206812652,30.170316301703163,0.7299270072992701,0.9732360097323601,0.0
Región del Maule,45.130183220829316,44.74445515911283,2.507232401157184,0.7714561234329798,6.846673095467695
Región del Libertador Gral. Bernardo O’Higgins,63.26276463262764,34.24657534246575,1.86799501867995,0.62266500622665,0.0
Región Metropolitana de Santiago,48.23008849557522,38.7905604719764,3.5398230088495577,0.8849557522123894,8.55457227138643
Región de Valparaíso,32.96795952782462,54.21585160202361,7.672849915682968,0.5059021922428331,4.63743676222597
Región de Coquimbo,45.78804347826087,42.934782608695656,4.483695652173913,0.1358695652173913,6.657608695652175
Región de Atacama,0.0,27.710843373493976,6.024096385542169,0.0,66.26506024096386
Región de Antofagasta,51.66666666666667,34.583333333333336,13.750000000000002,0.0,0.0
Región de Tarapacá,34.146341463414636,56.09756097560976,9.268292682926829,0.4878048780487805,0.0
Región de Arica y Parinacota,0.0,52.054794520547944,4.10958904109589,0.0,43.83561643835616
