mrun,rango_edad,anio_ing_carr_ori,anio_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,nomb_carrera,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,forma_ingreso,NOMBRE_REGION_INGRESO
98.0,15 a 19 años,2021,2021,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,111,IP DUOC UC,GASTRONOMIA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Metropolitana
99.0,15 a 19 años,2021,2021,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,111,IP DUOC UC,TECNICO EN GEOLOGIA Y CONTROL EN SONDAJE,Metropolitana,CORDILLERA,PUENTE ALTO,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Metropolitana
137.0,20 a 24 años,2021,2021,Centros de Formación Técnica,Centros de Formación Técnica,Centros de Formación Técnica,430,CFT INACAP,TECNICO EN MECANICA Y ELECTROMOVILIDAD AUTOMOTRIZ,Metropolitana,SANTIAGO,RENCA,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Metropolitana
140.0,20 a 24 años,2021,2021,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,111,IP DUOC UC,INGENIERIA EN ELECTRICIDAD Y AUTOMATIZACION INDUSTRIAL,Metropolitana,CORDILLERA,PUENTE ALTO,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),Metropolitana
341.0,30 a 34 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,13,UNIVERSIDAD SANTO TOMAS,PROGRAMA DE LICENCIATURA DE TRABAJO SOCIAL,La Araucanía,CAUTIN,TEMUCO,Pregrado,Licenciatura No Conducente a Título,1- Ingreso Directo (regular),La Araucanía
392.0,20 a 24 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,90,UNIVERSIDAD AUSTRAL DE CHILE,INGENIERIA CIVIL ACUSTICA,Los Ríos,VALDIVIA,VALDIVIA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Los Ríos
427.0,20 a 24 años,2021,2021,Centros de Formación Técnica,Centros de Formación Técnica,Centros de Formación Técnica,430,CFT INACAP,"TELECOMUNICACIONES, CONECTIVIDAD Y REDES",Ñuble,DIGUILLIN,CHILLAN,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Ñuble
428.0,20 a 24 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,75,UNIVERSIDAD DEL BIO-BIO,FONOAUDIOLOGIA,Ñuble,DIGUILLIN,CHILLAN,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Ñuble
452.0,20 a 24 años,2021,2021,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,143,IP AIEP,DISEÑO DE VESTUARIO PROFESIONAL MENCION ALTA COSTURA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),Metropolitana
637.0,15 a 19 años,2021,2021,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,103,IP INSTITUTO DE ESTUDIOS BANCARIOS GUILLERMO SUBERCASEAUX,CONTADOR AUDITOR CON MENCION BANCA E INSTITUCIONES FINANCIERAS,Valparaíso,VALPARAISO,VIÑA DEL MAR,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),Valparaíso
